Year,Organisation,Critical Industry,Organisation size,Level of digital intensity,Sector,Country,Cyber security role,Cyber security frameworks,Education and awareness policy,Policy,"Prevention, Detection and Recovery",Improper network segmentation,Inappropriate remote access,Absence of encryption,Detector,Restructuring after attack,Bribe/ransom paid,Free identity or credit theft monitoring,Additional disclosure of information,Number of users affected,Overall nature of attack,Attack type,Attacker,Attack vector,Impact on data,Aspect of Confidentiality-Integrity-Availability triad affected,Individual(s) name(s) leaked/exposed,Address(es) leaked/exposed,Other personally identifiable information (PII) leaked/exposed,Track 1 - Credit card details leaked/exposed,Track 2 - Credit card details leaked/exposed,Social security number/tax number leaked/exposed,Subsequent fraudulent use of data,Investigation,Undertook investigation,Litigation by public,Penalties/settlement paid or actions imposed,Imposed penalties or actions on organisation,Fines issued by government or relevant body,Settlement paid,Effect on share price,Summary,
2013,"Assisted Living Concepts, LLC",No,Large,Low-Medium,Residential care and social work activities,USA,No,No,No,Yes,Medium,No,No,No,Organisation,Yes,No,Yes,No,43600,Type 2,Misuse of resources,External,Vendor vulnerability,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Access was gained through vendor credentials,
2010,AT&T,Yes,Large,High,Telecommunications,USA,No,No,No,Yes,Low,Yes,No,No,Organisation,NA,No,No,No,114000,Type 4,Web compromise,External,Insufficient input validation,Low,Confidentiality,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No change,Attacker accessed user data by modifying a URL for a public API,
2015,AT&T Group Health Plan,Yes,Large,Low-Medium,Human health activities,USA,Yes,No,No,Yes,Medium,No,No,No,Organisation,Yes,No,Yes,No,280000,Type 5,Misuse of resources,Internal,Inappropriate use of privilege,High,Confidentiality,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,NA,Staff accessed sensitive customer data without authorisation,
2016,Atique Orthodontics,Yes,Small,Low-Medium,Human health activities,USA,No,No,No,Yes,High,Yes,Yes,Yes,Organisation,Yes,No,Yes,No,Missing,NA,NA,External,Unknown network attack,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Remote access into the network was gained,
2015,"Atkinson, Andelson, Loya, Ruud & Romo",No,Medium,High,Legal and accounting activities,USA,No,No,No,Yes,Low,No,No,Yes,Organisation,No,No,Yes,No,Missing,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,No,Yes,NA,NA,Yes,No,No,No,No,No,No,No,No,NA,Laptop stolen,
2016,"Atlantis, Paradise Island",No,Large,Low,Accommodation and food service activities,USA,No,No,No,Yes,Low,No,No,Yes,Organisation,No,No,No,No,Missing,Type 1,Installed malware,External,Unknown network attack,High,Confidentiality,No,No,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Malware installed on PoS,
2016,"Atlantis, Paradise Island",No,Large,Low,Accommodation and food service activities,USA,No,No,No,Yes,Low,No,No,Yes,Credit card/bank,Yes,No,No,No,Missing,Type 1,Installed malware,External,Unknown network attack,High,Confidentiality,No,No,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Malware installed on PoS,
2017,Atwood Distributing L.P.,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,Yes,Yes,Missing,Type 1,Installed malware,External,Vendor vulnerability,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Third party managed website that had an intrusion. ,
2017,"AU Medical Center, Inc.",Yes,Large,Low-Medium,Human health activities,USA,Yes,No,No,Yes,Medium,No,No,No,Organisation,Yes,No,Yes,No,417000,Type 2,Misuse of resources,External,Social engineering,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Phishing attack,
2013,Auburn University,No,Large,Low-Medium,Education,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,Yes,No,13698,NA,NA,External,NA,Low,Confidentiality,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,NA,Server was attacked,
2012,Aultman Hospital,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,NA,No,NA,Organisation,Yes,No,No,No,Missing,Type 1,Installed malware,External,Unknown device attack,High,Confidentiality,Yes,No,No,Yes,NA,No,No,Yes,Yes,No,No,No,No,No,NA,Malware installed,
2018,Australian National University,No,Large,Low-Medium,Education,Australia,Yes,No,No,Yes,Medium,Yes,No,No,Organisation,Yes,No,Yes,Yes,Missing,Type 2,Misuse of resources,External,Social engineering,Medium,Confidentiality,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,NA,Spear phishing,
2017,Automated pet care products inc,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,Yes,Yes,Missing,Type 4,Web compromise,External,Vendor vulnerability,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Vendor's e-commerce web platform was compromised,
2015,Automotive Recovery Services Inc.,No,NA,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,Yes,No,Missing,NA,NA,External,Unknown network attack,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Intrusion into network,
2014,AutoNation Toyota of South Austin,Yes,Large,Medium-High,Machine equipment,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,No,No,Missing,Type 4,Web compromise,External,Vendor vulnerability,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Third party responsible for PoS on website was hacked ,
2017,Avanti Markets Inc.,No,NA,High,Advertising and other business services,USA,No,No,No,Yes,Medium,Yes,No,No,Organisation,Yes,No,Yes,Yes,Missing,Type 1,Installed malware,External,Unknown network attack,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Targeted kiosks for PoS and biometric. Had some encryption,
2014,Aventura Hospital  Medical Center,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,Yes,No,No,Organisation,Yes,No,No,Yes,82601,Type 2,Misuse of resources,External,Vendor vulnerability,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,NA,Business associate employee accessed data,
2009,"AvMed, Inc.",Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,NA,NA,1200000,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,NA,Laptops stolen,
2018,AXA,No,Large,High,Finance and insurance,Singapore,No,No,No,Yes,Medium,NA,NA,Yes,Organisation,Yes,No,No,No,5400,NA,NA,External,Unknown network attack,Low,Confidentiality,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,NA,Unknown,
2014,Backcountry Gear,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,No,No,Missing,Type 1,Installed malware,External,Unknown website/web application attack,High,Confidentiality,Yes,No,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Malware installed,
2016,Bailey's Inc.,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,No,No,250000,Type 4,Web compromise,External,Unknown website/web application attack,High,Confidentiality,Yes,No,No,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Unknown attack on website,
2012,Bamastuff.com,No,NA,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,Medium,NA,No,Yes,Organisation,Yes,No,No,No,Missing,Type 4,Web compromise,External,Unknown website/web application attack,High,Confidentiality,Yes,No,No,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Unknown attack on website,
2005,Bank of America,Yes,Large,High,Finance and insurance,USA,No,No,No,NA,Low,NA,NA,NA,NA,NA,No,Yes,Yes,60000,Type 2,Misuse of resources,External,Physical device,High,Confidentiality,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,No,No,No,No,No,?,Targeted other banks as well. Attackers managed to gain access by pretending to be debt collection agency as well. ,
2009,Bank of America,Yes,Large,High,Finance and insurance,USA,Yes,No,No,Yes,Low,NA,No,Yes,Organisation,No,No,No,No,Missing,Type 2,NA,External,Vendor vulnerability,Low,Confidentiality,Yes,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,No,?,Credit card data hacked,
2018,Bank of Montreal,Yes,Large,High,Finance and insurance,Canada,No,No,No,Yes,Low,NA,No,Yes,Organisation,No,No,No,No,Missing,NA,NA,External,NA,High,Confidentiality,Yes,Yes,Yes,NA,NA,Yes,Yes,No,No,No,No,No,No,No,No change,Unknown,
2018,Bankers life,Yes,Medium,High,Finance and insurance,USA,No,No,No,Yes,Medium,NA,No,Yes,Organisation,Yes,No,Yes,No,566217,NA,NA,External,NA,High,Confidentiality,Yes,Yes,Yes,NA,NA,Yes,Yes,No,No,No,No,No,No,No,NA,Unknown,
2016,Banner Health,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,NA,NA,3700000,Type 1,Installed malware,External,Unknown network attack,High,Confidentiality,Yes,Yes,Yes,Yes,NA,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,NA,Payment system hacked ,
2015,Barbecue Renew,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,Low,NA,NA,Yes,Public,Yes,No,Yes,No,Missing,Type 1,Installed malware,External,Unknown website/web application attack,High,Confidentiality,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,NA,Website was compromised and malware was installed taking data,
2012,Barnes & Noble,No,Large,Medium-High,"Publishing, audiovisual and broadcasting",USA,Yes,No,No,Yes,Medium,NA,NA,Yes,Organisation,Yes,No,No,No,Missing,Type 1,Installed malware,External,Unknown network attack,High,Confidentiality,Yes,No,No,Yes,NA,No,No,Yes,No,Yes,No,No,No,No,NA,Malware installed on PoS,
2013,Barry University Foot and Ankle Institute,Yes,Small,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,Yes,Yes,Missing,Type 1,Installed malware,External,Physical device,High,Confidentiality,Yes,Yes,No,Yes,NA,Yes,No,No,No,No,No,No,No,No,NA,Malware installed,
2014,Bartell Hotels,No,Large,Low,Accommodation and food service activities,USA,Yes,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,Yes,Yes,45000,NA,NA,External,Unknown network attack,High,Confidentiality,Yes,No,No,Yes,NA,No,No,Yes,Yes,No,No,No,No,No,NA,Payment system hacked ,
2013,Bashas',No,Large,Medium-High,"Wholesale, retail trade and repair",USA,Yes,No,No,Yes,Medium,Yes,No,NA,Organisation,Yes,No,No,No,Missing,Type 1,Installed malware,External,Unknown network attack,High,Confidentiality,Yes,No,No,Yes,NA,No,Yes,Yes,Yes,No,No,No,No,No,NA,Malware installed on PoS,
2016,"Baystate Health, Inc.",Yes,Large,Low-Medium,Human health activities,USA,Yes,No,No,Yes,Low,Yes,NA,Yes,Organisation,Yes,No,Yes,No,13000,Type 2,Misuse of resources,External,Social engineering,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,NA,Phishing attack,
2015,Beacon Health System,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,Yes,NA,Yes,Organisation,Yes,No,Yes,No,Missing,Type 2,Misuse of resources,External,Social engineering,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Phishing attack,
2017,BeautyBlender,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,Low,Yes,NA,Yes,Organisation,Yes,No,No,Yes,Missing,Type 1,Installed malware,External,Insufficient input validation,High,Confidentiality,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,NA,Website was hacked,
